t,neuron
56.8,8700
58.6,7900
59.6,4100
62.3,8400
63.4,3600
63.4,11500
63.5,4000
63.7,3800
64,1200
64.5,11800
64.6,10100
64.7,3100
64.8,5100
64.9,600
64.9,9300
65,3300
65.1,5600
65.1,6700
65.2,9800
65.5,5000
66,2000
66.1,10200
66.2,6000
66.2,10400
66.2,10700
66.2,11300
66.3,9200
66.3,9900
66.6,11400
66.6,12100
66.7,3700
66.9,900
66.9,8200
67.2,6400
67.4,4700
67.9,5700
67.9,10500
68,8600
68,10000
68.1,5500
68.8,11000
68.9,11700
69,200
69,7700
69.4,3900
69.7,1800
70.2,500
70.5,6100
71.3,1300
71.3,5200
71.3,7500
71.3,8100
71.5,11100
71.9,2800
71.9,7300
72.9,6500
74.1,9500
75.2,4100
75.8,7100
77.8,1400
78.8,1500
82.4,1100
86.1,1000
89.9,11200
95.4,800
96.2,8000
98.9,6200
100.2,2100
107.4,8700
107.7,4600
108.9,4900
109.1,4000
111,5400
111.1,5800
111.2,3000
111.2,8500
112.6,2000
112.6,11900
112.7,4300
112.7,6800
112.8,900
112.8,9500
112.9,4200
113,5200
113.3,6500
114.1,1200
114.1,9400
114.1,11600
114.2,2400
114.2,5600
114.2,7100
114.3,100
114.3,5500
114.4,5700
114.4,6700
114.5,9000
115.1,11700
116,5100
116.2,4700
117.9,6100
118.6,11200
118.7,11800
119.2,1800
119.8,8400
119.9,7500
120.2,11300
120.3,10600
120.7,3600
122.1,5000
122.4,3800
123.1,1100
123.2,6400
123.3,1300
124.7,10700
126,1700
126.2,200
126.2,11100
126.3,2200
126.6,3900
126.6,9300
127.5,3700
127.6,4100
128,10800
128.3,9900
128.4,8600
128.5,500
128.8,300
129.9,12100
130,8300
130,10100
130.6,11000
130.8,2700
131.3,5500
131.7,3000
131.7,6500
144,10400
152.2,4600
152.7,3500
152.8,8500
153.5,6200
153.5,11700
154.3,5400
154.6,8200
154.6,9800
154.9,7500
155.1,6000
155.7,1900
155.7,10700
155.8,3400
155.9,2800
156.1,2200
156.1,4000
156.2,8600
156.5,7100
156.5,10200
156.6,3100
156.7,4100
156.9,6900
157,1500
157,5600
157.1,4200
157.2,4700
157.3,800
157.3,2000
157.4,9500
157.7,1200
157.7,9200
158.8,200
159,2300
159.2,11500
159.4,2400
159.6,2600
159.6,4800
160.2,2700
160.4,6700
161.9,9900
162.2,11400
162.6,9400
162.7,3200
163.2,11800
164.2,7300
165.9,1300
168,1800
170.4,10500
170.8,2100
178.4,500
185.4,5100
185.7,5500
186.1,11300
186.8,10100
187.8,1700
189.4,7600
190.6,6100
190.9,4400
191.1,200
191.8,6200
192.4,1100
192.4,11800
192.6,3000
192.6,9400
192.7,5000
192.8,600
192.9,5600
192.9,11200
193,7900
