t,neuron
10.6,4550
11.8,6950
11.8,8050
11.9,5650
11.9,9250
12,6050
12,8650
12,12350
12.1,7750
12.1,11050
12.1,11450
12.2,10750
12.3,11550
12.4,250
12.4,3350
12.6,1150
12.6,3150
12.6,3450
12.6,6450
12.6,9850
12.6,11850
12.7,2050
12.7,3650
12.7,4150
12.7,8150
12.8,1050
12.8,2250
12.8,2350
12.8,3050
12.8,5350
12.8,6550
12.8,8450
12.8,9050
12.9,850
12.9,2150
12.9,2650
12.9,7850
12.9,12250
13,8350
13,11750
13.2,1350
13.2,1850
13.2,2850
13.2,3950
13.2,4450
13.2,7550
13.2,9950
13.3,4750
13.3,5450
13.3,7950
13.3,8750
13.3,10350
13.4,2550
13.4,5050
13.4,10450
13.5,1250
13.5,3550
13.5,5750
13.5,6150
13.5,6350
13.5,7650
13.5,8950
13.5,9650
13.5,10550
13.5,11150
13.5,11650
13.6,3250
13.6,5550
13.6,12150
13.7,1450
13.9,10650
13.9,12050
14,6250
14.1,3750
14.3,5850
14.4,6850
14.5,8550
18.6,11050
20.6,2450
21,10950
21.1,50
21.2,4150
21.4,4650
21.8,350
22.2,7850
22.6,7650
22.6,10250
22.7,1250
22.7,5850
22.7,7250
22.8,3750
22.8,10650
23.2,11150
23.4,850
23.4,3950
23.5,8150
24.1,4550
24.3,4350
24.4,3450
24.4,4950
24.4,6950
24.6,1650
24.7,11750
24.8,2850
25,6850
25.2,6550
25.4,2750
25.4,5550
25.6,9950
25.8,5050
25.9,8950
26.1,650
26.2,12050
26.3,11950
26.4,3550
26.6,7750
26.8,5450
26.9,8450
27.2,10450
27.3,10550
27.9,2550
28.7,2050
28.9,11050
30.1,9050
30.6,11350
30.6,12450
30.7,5750
30.9,750
30.9,5350
30.9,10850
30.9,12250
31,5150
31.2,9150
31.4,8750
31.7,8350
31.9,9450
31.9,10150
32,4150
32.1,3250
32.9,9650
32.9,10250
33.3,4450
33.7,6550
34.5,9850
34.7,1550
35.1,4350
36.1,4650
36.8,5850
36.9,3950
37,1350
37,1950
37.1,3450
37.1,6250
37.2,8050
37.3,2350
37.4,4550
37.7,4850
37.8,8950
38,7850
38,8150
38.1,12050
38.3,6050
38.6,350
38.6,2150
38.7,10950
39.1,3650
39.1,7250
39.3,3050
39.4,6850
39.5,2450
39.6,5450
39.6,7650
39.8,9950
39.9,2050
39.9,11050
40,7950
40,8550
40.1,2950
40.1,6650
40.5,6450
40.7,2650
40.7,9050
41,10250
42,3750
43.1,5750
43.7,650
43.9,4150
44.6,8350
44.8,10150
45.2,5550
45.5,9350
45.6,7750
46.1,50
46.1,5950
46.1,7450
46.3,2150
46.3,11850
46.4,4950
46.4,5150
47.1,3450
47.1,11050
47.2,1250
47.5,550
47.7,5350
47.9,3950
47.9,10750
48,9150
48.1,11150
48.3,10650
48.4,6250
48.4,7850
48.7,3550
48.9,11750
49.2,2450
50.2,4350
50.2,12350
51.3,9950
51.4,3050
51.4,7650
51.7,2050
51.7,11450
52.2,5850
52.3,4650
52.4,10950
52.5,6050
52.5,12450
52.6,1650
53.3,7050
53.6,6850
54.2,10350
54.2,12050
54.2,12250
54.3,2550
54.5,4850
54.5,5450
54.5,6150
54.5,10250
54.5,10450
54.6,3950
54.9,8750
55.4,750
55.9,6550
56.9,8150
57.3,9450
57.4,9050
57.5,11050
57.6,3550
58,7550
58.5,11950
58.8,8550
59.2,250
59.3,4550
59.7,5750
59.8,2450
59.8,2950
59.9,350
59.9,10550
59.9,12150
60,3250
60.3,3150
60.3,3450
60.3,6950
60.3,9150
60.3,9650
60.7,4150
61,5050
61,5350
61,6850
61.1,4950
61.1,10750
61.2,6250
61.3,4350
61.4,7250
61.5,2850
61.5,9350
61.5,9950
61.6,7750
61.7,1550
61.9,2050
61.9,11550
62.2,4850
62.6,8050
62.8,3750
63.6,9850
64,2350
66.6,2450
66.9,4750
67,4650
67.5,12450
67.6,2750
67.6,8950
67.8,2550
67.9,5850
68,450
68,3950
68,5450
68,5950
68.2,10650
68.3,7850
68.5,4050
68.5,5550
68.5,9350
68.5,11150
68.6,1250
68.6,7950
68.8,10150
68.9,2250
69,10050
69,11850
69.1,1450
69.1,6050
69.1,11350
69.2,3550
69.4,2650
69.4,4150
69.4,8850
69.4,10550
69.4,11050
69.5,3650
69.5,5350
69.5,8650
69.5,10450
69.6,4350
69.9,50
70.4,9050
70.9,12250
71,1350
71,10850
71.8,12050
72.8,9250
73.4,10250
73.8,9650
75,8050
75.2,3750
75.4,2850
76.4,5750
76.5,5150
76.7,9950
77.1,7250
77.1,11750
77.2,850
77.2,4550
77.6,7850
77.7,250
77.7,2350
78.1,2450
78.2,5050
78.3,2050
78.3,8550
78.4,4150
78.4,4850
78.6,3250
78.6,6050
78.7,6150
78.7,10350
78.8,3350
78.8,3450
78.8,8150
78.8,11050
79,4650
79.1,10950
79.1,12350
79.3,8750
79.7,7450
79.9,3550
80.1,9150
80.3,1250
80.4,3950
80.5,10750
81.4,2150
81.4,5350
81.6,8450
83.4,1450
83.9,5450
84,4450
84.4,3050
84.4,7750
85.2,750
85.2,8050
85.7,5850
85.8,4350
86.2,12050
86.7,6650
86.8,2450
86.8,2850
87.1,4150
87.1,9050
87.1,11150
87.5,10150
87.5,10550
87.6,2550
87.6,7850
87.6,8650
87.9,650
87.9,5750
88,1650
88.1,6850
88.8,4950
89,10850
89.1,1150
89.3,2950
89.5,11050
89.6,6250
89.8,5150
90,3950
90,9350
90,10250
90.2,2050
90.2,6950
90.4,8950
90.5,2750
90.8,10450
91.3,3750
91.3,6050
91.3,11950
91.4,11550
91.6,4650
92.2,9950
92.4,8050
93,12450
93.7,2650
93.8,7650
93.9,8350
94.5,4350
94.5,4550
94.7,5450
94.8,10950
95,1950
95.1,6450
95.3,50
95.6,2550
95.7,1250
95.8,11750
96,5350
96.1,2050
96.2,2850
96.4,850
96.4,12250
97.3,7950
97.4,7550
97.4,9850
97.5,3450
97.5,4850
97.6,8150
97.7,4150
98.3,3950
98.5,3250
98.5,9150
98.9,9650
99,2350
99,9450
99.6,8750
99.7,3150
99.9,3550
100,7050
100.7,2450
100.8,6050
102.3,550
103.5,11050
103.7,5850
103.8,5750
103.9,5450
104.2,450
104.3,350
104.5,650
104.6,10250
104.7,9950
104.8,2950
105,1650
105,7850
105.1,6550
105.1,7250
105.2,4350
105.2,11950
105.3,2050
105.3,4150
105.3,6250
105.3,8650
105.5,10150
105.5,10350
105.7,6850
106.1,10650
106.7,4650
106.8,11850
106.9,3750
106.9,5950
107.1,3350
107.1,7050
108.1,5350
108.2,5150
108.2,10750
108.6,12450
108.9,3450
109.1,12350
109.5,11450
110,1250
111.3,3050
112.3,4850
112.7,6150
112.9,2550
113,9050
113.1,8950
113.1,11050
113.3,9350
113.3,10950
113.6,850
113.7,8150
113.7,9150
114,2350
114,4950
114.1,3950
114.6,4450
114.7,1450
114.9,9450
115.2,12050
115.5,750
115.6,5450
115.7,2150
115.9,3450
115.9,7750
116,5350
116.1,1550
117.1,5550
117.2,250
117.2,5050
117.2,9650
117.2,12250
117.3,8050
117.3,9250
117.3,10550
117.3,11550
117.4,1350
117.5,6050
117.5,11150
117.6,2050
117.9,4550
118.1,6850
118.5,4150
118.6,2650
118.6,3650
118.8,2850
119,3550
119.3,10450
119.5,10150
119.6,2450
119.9,9950
120,11950
120.3,7850
120.5,5750
120.9,2750
121.5,1150
121.7,2550
121.9,4350
122.1,10250
122.4,5850
122.7,5650
122.8,3250
122.9,11050
123,12450
123.1,6550
123.7,6650
123.7,11750
123.8,7250
124.2,2950
124.4,650
124.4,6050
124.6,9050
124.8,4150
124.8,5150
124.9,1650
125.2,4650
125.8,1250
126.1,2050
126.1,3450
126.1,7450
126.5,8450
127.1,3150
127.1,7650
127.2,8350
127.4,8750
127.6,9150
127.8,5450
127.9,5950
128,150
128,3950
128.5,50
128.5,7950
128.8,8250
128.8,9450
130.1,8050
