t,neuron
11,7000
11.6,2350
11.6,8900
11.7,2300
11.7,3950
11.7,5850
11.8,1700
11.8,7100
11.8,8800
11.9,2200
11.9,2650
11.9,4400
11.9,4500
11.9,7800
12,4650
12,5350
12.1,3400
12.1,7950
12.1,8650
12.2,250
12.2,1400
12.2,3100
12.2,9200
12.3,1200
12.3,2750
12.3,3550
12.3,6300
12.4,150
12.4,1050
12.4,1350
12.4,2150
12.4,2500
12.4,3250
12.4,4600
12.4,5150
12.4,7850
12.4,8950
12.5,1750
12.5,4050
12.5,6850
12.5,7450
12.5,8850
12.5,9450
12.6,1000
12.6,2050
12.6,2950
12.6,3300
12.6,7200
12.6,8250
12.7,2550
12.7,2700
12.7,8000
12.7,9800
12.8,400
12.8,900
12.8,3200
12.8,4250
12.8,5300
12.8,5800
12.8,6900
12.8,9150
12.8,9250
12.9,50
12.9,500
12.9,3700
12.9,6550
12.9,9300
12.9,9850
13,3150
13,3750
13,5650
13,6500
13,6750
13,7150
13.1,100
13.1,1150
13.1,1900
13.1,3050
13.1,5750
13.1,6200
13.1,7050
13.1,7400
13.1,9600
13.2,850
13.2,4950
13.2,6700
13.2,8200
13.2,8350
13.2,8550
13.3,750
13.3,5250
13.3,7900
13.4,650
13.4,1550
13.4,2250
13.4,2900
13.4,3000
13.4,4150
13.4,4300
13.4,5450
13.4,5950
13.4,6650
13.4,9700
13.5,2450
13.7,2600
13.7,2850
13.7,4450
13.7,5000
13.7,7250
13.7,9000
13.8,5050
13.8,7650
14,4350
14.2,3650
18.4,1300
18.6,550
18.9,7750
19.1,9050
19.2,7550
19.3,6100
19.3,8050
19.5,4050
19.8,4900
20,450
20.1,4000
20.2,6450
20.2,8100
20.3,2800
20.3,9750
20.5,4950
20.5,8600
20.6,5750
20.6,8750
20.9,6700
21.1,900
21.1,1800
21.1,3050
21.1,5650
21.1,9400
21.2,0
21.5,4600
21.6,2900
21.6,7850
21.6,9500
21.7,4200
21.8,3700
21.8,4150
21.8,8850
21.9,4550
22,5700
22,6800
22.1,6900
22.1,7300
22.3,1650
22.3,6300
22.4,3900
22.5,50
22.5,850
22.5,3650
22.5,7650
22.6,350
22.6,1850
22.6,8350
22.6,8550
22.9,9550
23.1,2450
23.1,5200
23.1,7250
23.2,200
23.2,1250
23.2,6950
23.2,8250
23.3,4800
23.4,7600
23.5,3450
23.7,3300
24.1,500
24.1,3000
24.1,8400
24.4,2050
24.5,4300
24.5,5000
24.6,4450
24.8,1000
25,6600
25,8700
25.1,3750
25.2,3400
25.5,750
25.5,6650
25.6,1750
25.9,8800
26,7550
26.3,1050
26.5,5800
26.5,6750
26.7,100
26.9,4350
27,4950
27.2,1450
27.2,2750
27.2,5350
27.3,1600
27.3,9800
27.5,150
27.7,1300
27.7,5300
27.8,9700
28.8,1950
28.8,2400
28.8,7050
28.8,9600
28.9,2500
28.9,2850
29,8150
29.2,5500
29.2,8200
29.3,5150
29.3,5950
29.3,7900
29.6,2950
30,1800
30,7000
30.2,550
30.5,3850
30.5,4500
