t,neuron
12.9756,7000
13.5795,8900
13.6064,2300
13.5919,2350
13.6024,3950
13.644,5850
13.7262,8800
13.7966,1700
13.7937,7100
13.8515,4400
13.8226,3150
13.8348,4500
13.8486,7800
13.8423,2650
13.8958,2200
13.9766,5350
13.9897,4650
14.0224,7950
14.068,3400
14.1117,9200
14.0765,8650
14.1159,3100
14.1202,1750
14.2519,1400
14.2454,2750
14.2844,250
14.2874,3550
14.343,6300
14.3521,8950
14.3484,150
14.3801,2150
14.3675,5150
14.3838,1350
14.4045,1050
14.4016,7850
14.3886,3250
14.3995,1200
14.398,2500
14.4594,4600
14.4688,7450
14.4734,9450
14.4837,8850
14.4992,4050
14.5433,7200
14.526,2950
14.5551,6850
14.5646,8250
14.5705,2700
14.5946,1000
14.6089,2050
14.6129,2550
14.6557,8000
14.6543,8350
14.696,9800
14.7268,9150
14.732,900
14.7317,4250
14.7472,6200
14.7459,9300
14.7696,5800
14.7678,3700
14.7611,7150
14.77,3300
14.7799,3200
14.7898,5300
14.8418,9250
14.7897,400
14.8051,6900
14.8127,6500
14.8346,50
14.883,5650
14.895,500
14.893,9850
14.893,6550
14.9451,6750
14.956,3750
15.0155,100
15.0439,5950
15.0179,7050
15.0129,5750
15.0263,5900
15.067,5000
15.038,8050
15.035,7400
15.074,850
15.068,1450
15.0811,1900
15.0812,9600
15.0919,1150
15.0968,3050
15.133,4000
15.1165,4950
15.1236,8300
15.1351,8200
15.1786,9400
15.16,6700
15.1884,8550
15.2103,1800
15.2327,750
15.2967,1250
15.3024,5250
15.3049,7900
15.3283,9700
15.3405,5450
15.3405,4150
15.3405,4300
15.3412,2250
15.3801,2900
15.3909,1550
15.399,3000
15.4426,5050
15.4718,7700
15.473,6650
15.5115,2450
15.6114,2850
15.7243,4450
15.716,9000
15.7237,2600
15.8569,7250
15.8757,7650
15.898,6100
15.9805,4350
16.1732,3650
16.292,8100
19.3811,1300
20.3881,4900
21.852,7750
22.0449,350
22.0495,7550
22.176,9400
22.2305,550
22.4137,8750
22.4567,9750
22.4818,9050
22.6439,6450
22.7703,5750
22.9814,9600
23.295,3900
23.2909,450
23.4012,3050
23.4183,2800
23.4644,6700
23.6602,900
23.7236,7850
23.8382,850
23.9146,3700
23.9663,8600
24.0916,6800
24.0969,6300
24.248,4950
24.2881,5650
24.3052,2900
24.4673,9150
24.6225,1800
24.6351,8550
24.6645,8050
24.7815,9500
24.795,7250
24.8793,7300
24.8793,7600
24.8966,3000
24.9565,2450
25.0789,7650
25.1001,7700
25.1001,8300
25.1136,1600
25.1573,3650
25.1284,200
25.1464,4150
25.1782,4000
25.1886,7450
25.202,6900
25.2665,50
25.323,6100
25.4025,1650
25.4358,4350
25.5353,5900
25.6029,4300
25.6105,500
25.6785,7150
25.748,4200
25.8602,7400
25.9101,7050
26.0353,150
26.0697,5800
26.1145,9100
26.1936,6850
26.2083,0
26.8155,600
26.8425,8400
27.0567,9800
27.1105,3300
27.2703,5000
27.3612,5100
27.528,1300
27.7035,2050
27.8333,5850
27.8404,1250
27.8899,8000
28.1071,8800
28.5347,5700
28.5421,6650
29.2786,3750
30.0499,8150
30.203,3450
30.2681,5150
30.4186,6500
30.7021,6550
30.779,1900
30.8585,100
31.0367,750
31.0588,6750
31.1452,8250
31.4181,1000
31.4546,8200
31.5287,8700
31.54,3400
31.6033,5350
31.6966,7900
31.8124,2850
31.8534,9450
31.8662,7000
31.8968,350
31.9073,1150
31.9151,1450
31.9213,1050
31.9739,1750
32.1159,5500
32.2645,2200
32.273,8550
32.2898,2600
32.449,7550
32.499,4550
33.04,8600
33.0516,5200
33.1417,6700
33.4188,1800
33.4204,9050
33.6462,4800
33.7134,5300
33.7858,200
33.8489,4250
33.8294,6300
33.9546,9700
34.054,8350
34.068,8750
34.2714,7650
34.3582,1950
34.3834,3200
34.4381,550
34.4749,5250
34.6033,7850
34.7618,7950
34.8428,4950
35.2645,5900
35.381,4600
35.7149,2500
35.8418,5800
35.9208,1700
35.9621,6100
36.0662,3550
36.2657,3000
36.8468,9850
36.9301,5450
36.9573,7300
36.9573,6600
37.138,8900
37.223,1400
37.339,3850
37.6275,7050
37.6437,7200
37.6666,8950
37.7876,3100
37.9946,4500
38.2276,4750
38.3038,7600
38.4573,2950
38.5188,2400
38.7063,8500
38.7393,900
38.7836,5650
38.8203,9950
39.0502,4300
39.2618,9500
39.3304,7800
39.4267,5950
39.5411,4850
39.5841,9300
39.7975,3600
40.2973,8700
40.4282,3700
40.4938,4550
40.4982,2050
40.6058,8550
40.6151,8850
41.0092,7750
41.1022,2150
41.1498,5700
41.2043,9100
41.4211,4400
41.4551,3650
41.5728,3900
41.6375,8750
41.7405,6350
41.763,250
41.8979,500
41.9421,1300
41.9624,6450
42.0143,4050
42.1026,8400
42.1303,4200
42.1902,1850
42.224,9450
42.5027,2800
42.4908,5050
42.5818,200
42.6473,8000
42.7912,5600
42.9532,6950
43.0199,5350
43.1758,2900
43.1826,4450
43.2725,5000
43.3012,7250
43.4448,9800
43.443,7000
43.4998,9050
43.5474,7550
43.6281,6800
43.6573,2700
43.8368,6750
44.0628,8300
44.0745,4250
44.0668,9250
44.1498,4350
44.5141,1450
44.6483,7950
44.69,1550
44.6871,550
44.7752,2750
44.9448,1900
45.1399,1150
45.1582,1800
45.3772,5100
45.411,3050
45.4393,5200
45.4969,4900
45.5319,7650
45.5027,450
45.51,100
45.5342,1750
45.5333,1650
45.5364,5750
45.6034,4800
45.6391,8100
45.643,1000
45.6997,5650
45.7103,5850
45.7847,8150
45.7966,9550
45.9573,7450
46.0636,5500
46.0976,150
46.1127,850
46.2109,5150
46.1866,6900
46.2231,2550
46.2703,2350
46.3007,1400
46.3333,2850
46.473,6850
46.477,8050
46.5121,6650
46.5296,3100
46.5686,750
46.5861,5400
46.5893,1250
46.6079,7050
46.6573,4000
46.6606,1050
46.7553,7850
46.8088,9400
46.8671,2200
46.8957,8600
46.96,8250
46.9776,7900
47.0034,9700
48.1075,5450
48.1271,3400
48.2495,4650
48.365,2000
49.8098,8800
50.273,4950
50.3841,2950
50.5016,3650
50.9632,350
51.3713,6300
