t,neuron
11,7000
11.6,2350
11.6,8900
11.7,2300
11.7,3950
11.7,5850
11.8,1700
11.8,7100
11.8,8800
11.9,2200
11.9,2650
11.9,4400
11.9,4500
11.9,7800
12,4650
12,5350
12.1,3400
12.1,7950
12.1,8650
12.2,1400
12.2,3100
12.2,9200
12.3,250
12.3,1200
12.3,2750
12.3,3550
12.3,6300
12.4,150
12.4,1050
12.4,1350
12.4,2150
12.4,2500
12.4,3250
12.4,5150
12.4,8950
12.5,1750
12.5,4050
12.5,4600
12.5,6850
12.5,7450
12.5,7850
12.5,8850
12.5,9450
12.6,1000
12.6,2050
12.6,2950
12.6,3300
12.6,7200
12.7,2550
12.7,2700
12.7,8000
12.7,8250
12.7,9800
12.8,400
12.8,900
12.8,3200
12.8,4250
12.8,5300
12.8,5800
12.8,6900
12.8,9150
12.8,9250
12.8,9400
12.9,50
12.9,500
12.9,6550
12.9,9300
12.9,9850
13,3700
13,3750
13,5650
13,6500
13,6750
13,7150
13.1,100
13.1,1150
13.1,1900
13.1,3050
13.1,3150
13.1,6200
13.1,7050
13.1,9600
13.2,850
13.2,4950
13.2,5750
13.2,6700
13.2,7400
13.2,8200
13.2,8350
13.2,8550
13.3,750
13.3,5250
13.3,7900
13.4,650
13.4,1250
13.4,1550
13.4,2250
13.4,2900
13.4,3000
13.4,4150
13.4,4300
13.4,5450
13.4,5900
13.4,9700
13.5,2450
13.5,5050
13.5,6650
13.7,2850
13.7,5000
13.8,4450
13.8,7650
13.8,9000
13.9,7250
14,4350
14.2,3650
14.4,8100
14.5,5950
16.8,550
17.5,6800
17.5,8050
17.7,1300
18,9500
18.1,350
18.6,4000
19.2,8750
19.2,9050
19.4,7750
19.4,9750
19.6,7550
19.6,8400
19.7,7850
19.8,4900
20,7300
20.1,4050
20.1,6100
20.2,450
20.7,1800
20.7,2800
20.7,8500
20.9,2900
21.1,3700
21.3,4600
21.4,8600
21.5,7650
21.6,5700
21.7,500
21.7,900
21.8,4200
21.8,7600
21.8,8850
22.1,8800
22.2,1650
22.3,600
22.3,5650
22.4,6450
22.4,6700
22.5,8550
22.6,3050
22.6,4150
22.6,8350
22.7,5200
22.7,6300
22.7,7400
22.8,3900
22.9,850
22.9,9600
23,6600
23.1,100
23.2,50
23.2,3650
23.2,4550
23.2,6900
23.2,7700
23.2,8450
23.4,4950
23.5,2450
23.5,7250
23.6,8700
23.8,2050
23.8,4300
23.8,6850
23.8,7150
23.9,7450
24.1,2200
24.1,9300
24.3,6950
24.4,150
24.5,2250
24.6,5100
24.6,5350
24.7,3750
24.9,200
25,1250
25,5750
25.1,5000
25.1,6650
25.1,9800
25.2,5500
25.3,1950
25.3,7200
25.4,1050
25.4,2600
25.4,3400
25.4,5950
25.5,6750
25.5,8300
25.6,1750
25.6,5850
25.6,8250
25.7,0
25.7,1300
25.8,8150
26,4350
26.2,750
26.4,7050
26.8,1000
26.8,1450
26.8,3000
26.9,9450
27,2500
27,7550
27.5,350
28,9050
28.1,6100
28.4,3450
