t,neuron
11,7000
11.6,2350
11.6,8900
11.7,5850
11.8,1700
11.8,2300
11.8,3950
11.8,7100
11.9,4500
11.9,8800
12,2200
12,2650
12,4400
12,4650
12.1,3400
12.1,5350
12.1,7800
12.1,7950
12.2,3100
12.2,8650
12.2,9200
12.3,250
12.4,150
12.4,1400
12.4,2500
12.4,2750
12.4,3250
12.4,3550
12.4,5150
12.4,6300
12.4,8950
12.5,1050
12.5,1200
12.5,1350
12.5,1750
12.5,2150
12.5,4600
12.5,7850
12.6,2950
12.6,4050
12.6,6850
12.6,7200
12.6,9450
12.7,2050
12.7,2550
12.7,2700
12.7,7450
12.7,8000
12.7,9800
12.8,500
12.8,900
12.8,1000
12.8,4250
12.8,5800
12.8,8350
12.8,9150
12.9,3200
12.9,3300
12.9,5300
12.9,6900
12.9,9250
13,50
13,850
13,3700
13,5650
13,5900
13,6550
13,8250
13,9300
13,9850
13.1,100
13.1,400
13.1,1450
13.1,3150
13.1,5950
13.1,6200
13.1,6500
13.1,6750
13.1,7050
13.1,7400
13.2,1900
13.2,3050
13.2,4950
13.2,8200
13.2,9600
13.3,750
13.3,6700
13.3,9400
13.4,1250
13.4,2250
13.4,2900
13.4,3750
13.4,4300
13.4,5250
13.4,7900
13.4,9700
13.5,4150
13.5,5450
13.5,6650
13.8,2600
13.8,2850
13.8,4450
13.8,7250
13.8,9000
13.9,1150
13.9,7650
14,4350
14.3,8850
16.5,7550
17.6,8750
17.8,8050
18.3,550
18.5,6100
18.7,4900
19,4600
19.2,9750
19.5,9050
19.6,8600
19.7,7850
19.8,7750
19.9,9500
20.1,1300
20.2,5750
20.4,3650
20.5,1800
20.7,9400
20.9,9550
21.2,2800
21.2,6700
21.3,450
21.3,3900
21.3,7400
21.4,4450
21.4,4950
21.4,6600
21.6,2900
21.9,8100
22,1750
22,6800
22,7250
22.1,900
22.1,7600
22.3,50
22.3,6900
22.4,3700
22.8,8400
22.9,500
22.9,6300
23,6500
23,7300
23,8550
23.2,1650
23.2,7650
23.3,6650
23.4,2200
23.4,5000
23.5,9600
23.6,200
23.6,4000
23.6,4150
23.6,4550
23.7,8250
23.8,350
23.8,7150
23.9,2600
23.9,2950
23.9,5650
24,1600
24,5700
24,6950
24,9100
24.1,2150
24.1,4300
24.2,2400
24.4,6850
24.6,2050
24.6,4350
24.6,5350
24.8,4200
24.8,4500
24.8,7700
24.9,850
25.1,6750
25.2,8700
25.5,750
25.6,3050
25.7,100
25.8,8300
25.8,8800
25.9,2500
26,3550
26,9300
27.3,8150
28,1050
28,7050
28.1,9800
28.5,5150
28.7,8750
28.9,1000
29,2750
29.3,150
29.5,5800
29.6,7800
29.7,3300
29.7,8850
29.8,3200
29.8,5850
29.8,9050
30,5100
30.1,1800
30.1,8600
30.3,3800
30.4,5950
30.5,3900
30.5,5450
30.5,7200
30.5,7450
30.6,1900
30.7,7900
30.8,3750
31,7550
31.1,2850
31.1,5900
31.1,7850
31.3,3450
31.4,4600
31.5,4950
32.1,1300
32.1,5250
