t,spikes
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,66
11,646
12,2562
13,3216
14,493
15,36
16,10
17,23
18,57
19,114
20,196
21,348
22,709
23,722
24,716
25,622
26,428
27,289
28,224
29,355
30,640
31,999
32,511
33,224
34,123
35,124
36,260
37,396
38,907
39,949
40,652
41,147
42,119
43,163
44,234
45,655
46,477
47,595
48,453
49,343
50,248
51,455
52,555
53,412
54,644
55,304
56,216
57,255
58,509
59,984
60,1020
61,897
62,425
63,144
64,60
65,138
66,276
67,707
68,1413
69,931
70,307
71,138
72,105
73,252
74,393
75,549
76,425
77,581
78,745
79,524
80,324
81,317
82,323
83,233
84,426
85,561
86,511
87,482
88,526
89,616
90,723
91,679
92,293
93,341
94,457
95,647
96,308
97,347
98,460
99,451
100,264
101,215
102,323
103,530
104,659
105,751
106,458
107,327
108,476
109,414
110,328
111,253
112,356
113,511
114,595
115,483
116,337
117,780
118,614
119,566
120,338
121,417
122,325
123,293
124,682
125,649
126,390
127,588
128,767
129,528
130,482
131,347
132,428
133,497
134,218
135,204
136,326
137,609
138,1132
139,653
140,412
141,290
142,209
143,389
144,634
145,470
146,379
147,260
148,238
149,301
150,360
151,463
152,882
153,1316
154,567
155,175
156,70
157,95
158,214
159,429
160,870
161,1230
162,613
163,326
164,166
165,342
166,600
167,530
168,271
169,215
170,277
171,458
172,1186
173,876
174,533
175,450
176,186
177,161
178,313
179,332
180,577
181,561
182,389
183,600
184,727
185,781
186,591
187,424
188,293
189,202
190,310
191,532
192,800
193,485
194,210
195,316
196,548
197,459
198,381
199,1263
200,1019
201,292
202,142
203,116
204,201
205,416
206,486
207,506
208,308
209,322
210,786
211,859
212,323
213,191
214,116
215,130
216,272
217,525
218,617
219,666
220,735
221,698
222,517
223,739
224,591
225,419
226,564
227,299
228,182
229,331
230,528
231,359
232,581
233,739
234,1176
235,1241
236,336
237,54
238,102
239,196
240,287
241,430
242,533
243,365
244,182
245,259
246,256
247,673
248,409
249,638
250,589
251,352
252,587
253,374
254,397
255,399
256,520
257,478
258,213
259,210
260,474
261,706
262,672
263,349
264,501
265,841
266,472
267,507
268,422
269,502
270,522
271,594
272,345
273,689
274,826
275,1040
276,193
277,41
278,86
279,152
280,319
281,544
282,798
283,538
284,408
285,328
286,418
287,610
288,822
289,648
290,434
291,358
292,210
293,304
294,608
295,542
296,839
297,1041
298,557
299,467
300,289
301,137
302,208
303,394
304,413
305,753
306,977
307,858
308,164
309,110
310,191
311,265
312,309
313,452
314,325
315,569
316,355
317,383
318,293
319,362
320,650
321,985
322,1048
323,469
324,517
325,403
326,198
327,230
328,375
329,458
330,706
331,751
332,994
333,875
334,346
335,121
336,124
337,219
338,472
339,550
340,381
341,332
342,258
343,583
344,889
345,734
346,386
347,164
348,122
349,227
350,447
351,739
352,1210
353,427
354,216
355,301
356,462
357,436
358,419
359,508
360,594
361,449
362,652
363,512
364,576
365,492
366,330
367,331
368,154
369,200
370,273
371,351
372,507
373,459
374,700
375,721
376,362
377,302
378,351
379,511
380,520
381,504
382,515
383,582
384,541
385,529
386,346
387,360
388,280
389,501
390,505
391,762
392,986
393,526
394,95
395,164
396,221
397,271
398,672
399,765
400,748
401,771
402,194
403,88
404,154
405,265
406,453
407,616
408,458
409,531
410,412
411,349
412,464
413,765
414,921
415,803
416,440
417,207
418,181
419,152
420,247
421,535
422,352
423,272
424,385
425,541
426,873
427,607
428,555
429,310
430,357
431,387
432,385
433,457
434,307
435,337
436,289
437,403
438,624
439,441
440,649
441,826
442,790
443,509
444,286
445,199
446,347
447,520
448,445
449,266
450,384
451,530
452,812
453,922
454,458
455,674
456,479
457,483
458,312
459,356
460,421
461,923
462,611
463,314
464,137
465,124
466,253
467,488
468,799
469,407
470,644
471,612
472,356
473,355
474,185
475,281
476,323
477,529
478,363
479,726
480,1125
481,744
482,268
483,263
484,300
485,542
486,588
487,703
488,366
489,332
490,285
491,332
492,436
493,559
494,439
495,295
496,404
497,429
498,534
499,858
500,702
501,422
502,488
503,339
504,334
505,613
506,1200
507,437
508,117
509,136
510,222
511,386
512,405
513,536
514,638
515,721
516,886
517,667
518,234
519,95
520,138
521,353
522,476
523,408
524,573
525,427
526,416
527,537
